"trip_date","trip_month","total_trips","avg_distance","avg_duration","avg_fare","total_revenue","avg_tip"
"2026-05-16",5,151074,3.41,19.10,21.58,4512031.01,2.62
"2026-05-17",5,128526,3.93,18.68,22.78,4051777.80,2.92
"2026-05-18",5,118388,3.75,19.58,22.44,3770910.37,3.22
"2026-05-19",5,137081,3.31,20.18,22.36,4327944.79,3.16
"2026-05-20",5,146721,3.26,20.14,22.99,4727807.94,3.18
"2026-05-21",5,138570,3.49,20.48,22.70,4452335.58,3.34
"2026-05-22",5,113082,3.64,17.79,20.85,3376362.62,2.97
"2026-05-23",5,113349,3.40,16.11,19.89,3150281.81,2.45
"2026-05-24",5,93105,3.77,15.75,19.80,2594646.85,2.49
"2026-05-25",5,74195,4.27,15.25,22.22,2364200.94,3.25
"2026-05-26",5,110384,3.66,19.04,21.39,3370965.08,3.13
"2026-05-27",5,122292,3.43,17.13,21.24,3682727.47,2.91
"2026-05-28",5,134892,3.45,19.28,21.87,4176479.55,3.06
"2026-05-29",5,130583,3.47,19.22,21.30,3930512.21,2.88
"2026-05-30",5,138707,3.35,16.80,20.31,3904284.50,2.45
"2026-05-31",5,117268,4.02,18.35,22.50,3640344.94,2.83
