"borough","zone","total_trips","avg_distance","avg_fare","total_revenue"
"Queens","Woodside",11167,4.82,29.45,395920.38
"Queens","Forest Hills",11024,6.68,31.58,407141.07
"Queens","Richmond Hill",10091,6.58,37.66,436413.60
"Brooklyn","Crown Heights South",9879,5.60,30.42,333190.56
"Queens","Queensbridge/Ravenswood",9615,4.92,27.59,322245.66
"Queens","Ridgewood",9278,4.99,29.67,319211.89
"Queens","Baisley Park",9009,10.48,51.45,559334.74
"Brooklyn","Sunset Park West",8975,7.03,34.22,352795.35
"Manhattan","Inwood",8788,7.12,31.32,312745.82
"Brooklyn","Bay Ridge",8749,8.43,35.17,344278.40
"Brooklyn","Prospect Heights",8661,5.49,32.88,328705.57
"Bronx","East Concourse/Concourse Village",8645,6.69,30.73,291471.74
"Bronx","West Concourse",8210,6.26,31.28,291746.50
"Brooklyn","Coney Island",8192,10.61,40.00,346213.53
"Bronx","Soundview/Castle Hill",8000,8.08,32.68,290259.46
"Queens","Maspeth",7846,5.60,37.06,346737.75
"Bronx","Melrose South",7723,6.10,28.67,248987.75
"Bronx","Co-Op City",7687,11.04,39.69,332363.34
"Brooklyn","Erasmus",7571,6.13,31.56,266108.13
"Brooklyn","East New York/Pennsylvania Avenue",7156,7.10,31.70,247908.42
"Queens","South Jamaica",7081,9.20,39.63,326543.12
"Brooklyn","Cypress Hills",6918,6.33,30.96,236791.56
"Queens","Saint Albans",6918,10.22,38.09,292079.39
"Brooklyn","Carroll Gardens",6882,5.41,31.35,266243.84
"Bronx","Williamsbridge/Olinville",6840,10.04,37.17,278573.55
"Brooklyn","Red Hook",6592,7.56,39.18,307493.14
"Brooklyn","Cobble Hill",6499,5.11,30.34,240485.76
"Bronx","Parkchester",6466,9.09,35.62,255898.11
"Bronx","University Heights/Morris Heights",6432,7.76,32.52,227882.34
"Queens","Flushing",6216,7.57,31.77,229108.59
"Bronx","Morrisania/Melrose",6099,6.81,30.52,206217.78
"Brooklyn","Starrett City",5991,8.18,33.95,217406.53
"Brooklyn","Marine Park/Mill Basin",5691,6.26,30.48,186831.97
"Queens","Far Rockaway",5688,14.01,48.16,289191.98
"Queens","Hammels/Arverne",5548,13.22,47.00,274688.42
"Brooklyn","Borough Park",5544,5.62,28.47,170734.86
"Brooklyn","Midwood",5542,6.18,29.43,176584.53
"Bronx","East Tremont",5459,8.42,33.75,204647.32
"Queens","Corona",5351,7.11,32.85,205121.01
"Queens","Springfield Gardens North",5269,10.37,37.21,219891.93
"Brooklyn","Gowanus",5243,5.65,31.27,193968.54
